date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:42	360/360	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Jun%202008%2013:08:15%20GMT	www.cs.vsb.cz/robots.txt		(from )
15:07:42	673/673	---M--	200	added ('OK')	text/html	etag:%2210ba1-2a1-baa10c80%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/index.html	(from )
15:07:42	656/656	---M--	200	added ('OK')	text/html	etag:%2210b88-290-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/up.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/up.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/)
15:07:43	1870/1870	---M--	200	added ('OK')	text/html	etag:%2210b7d-74e-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/)
15:07:43	7594/7594	---M--	200	added ('OK')	text/html	etag:%2210b84-1daa-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/uvod.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/uvod.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/)
15:07:43	7190/7190	---M--	200	added ('OK')	text/html	etag:%2210b7e-1c16-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/ekvivalence.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/ekvivalence.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:43	6692/6692	---M--	200	added ('OK')	text/html	etag:%2210b80-1a24-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_uvod.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_uvod.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:43	6487/6487	---M--	200	added ('OK')	text/html	etag:%2210b7f-1957-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_kong.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_kong.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:43	2802/2802	---M--	200	added ('OK')	text/html	etag:%2210b86-af2-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_nero.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_nero.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:43	7362/7362	---M--	200	added ('OK')	text/html	etag:%2210b82-1cc2-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_appl.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/nerod_appl.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:43	5042/5042	---M--	200	added ('OK')	text/html	etag:%2210b83-13b2-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_uvod.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_uvod.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:44	11815/11815	---M--	200	added ('OK')	text/html	etag:%2210b81-2e27-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_pump.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_pump.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:44	5846/5846	---M--	200	added ('OK')	text/html	etag:%2210b85-16d6-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_post.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_post.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:44	17491/17491	---M--	200	added ('OK')	text/html	etag:%2210b87-4453-ba91ca40%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_appl.htm	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/pump_appl.htm	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/menu.htm)
15:07:44	40090/40090	---M--	200	added ('OK')	image/jpeg	etag:%2210ba0-9c9a-baa10c80%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/pictures/jazyk.jpg	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/pictures/jazyk.jpg	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/uvod.htm)
15:07:44	466/466	-R-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Mon,%2009%20Jun%202008%2013:08:16%20GMT	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/pictures/jazyk.jpg	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/pictures/jazyk.jpg	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/uvod.htm)
15:07:44	28166/28166	---M--	200	added ('OK')	image/jpeg	etag:%2210b9f-6e06-baa10c80%22	www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/pictures/jazykL2.jpg	C:/My%20Web%20Sites/automaty/www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/pictures/jazykL2.jpg	(from www.cs.vsb.cz/jancar/TEORET-INF/ANIMACE/Sadil/html/uvod.htm)
